scramble,orientation,step_0,step_1,step_2,step_3,total_moves
R' U2 R D L R D F' L2 R B2 F2 L' B R L2 F' L R U' L',x2,L' U2 B' U' L2 U2 F2 R' B2,R F' L F R2 B' R,L' B2 R' B' R' F U F2 U L F U R2,U B R D U' B2 D' U R B' U',40
U2 D' L' F B L' F' L' B' U2 R D' B F L' B L' R2 U2 F,x2,F' D L R D2 L' D U2 L U,R2 U F2 L2 F U' F R2 B2,U F R2 F2 D B2 L2 B2 D F U',U B R D U' B2 D' U R B' U',41
L F2 L B D2 L2 D2 B' L2 R' F2 R L2 U L D2 R2 L2 U B L' U B,x2,L' U' B' R2 D' U2 B' D' F' U,B R2 F' U F' U' R2 D' B',D' L R2 B' F2 R2 B' R D L D2 U2 L2 R',U2 F2 L2 B2 D B2 L2 F2 U',42
B2 F U' B2 F' L2 B U L' U R U2 L' R2 D' B U2 F2 L B2 R' F2 D,x2,B2 U B D2 L F' R B U,R D2 L2 F' D2 R2 U2 R,D2 R U F2 R U' R' F2 U' F R' D2,L2 D L R' B2 L' R D L2,38
R2 F2 R' B2 F' L2 D' U' B' R D2 U2 R B U L2 U B2 L2 U2 D B' R2,x2,R2 D B R U B' L' U2 L F2,R2 B D L D' B' R B R,D B2 L2 B2 D2 R F2 D' L' F2 L F D2 R',,33
L' F2 D L B' F' L' U' R2 U F U2 L' F' L' R' B F2 D' R2 B2 U' B' L,x2,L2 F' R' U2 F U2 R' B' D',L2 R D F D' L2 R2 B2 R,D2 B' L2 B D' F D2 F' D' L' F L D' F',R' B' R B F D2 B2 D' B D B D2 F',45
F L D2 R2 U D' L' F B R' F' D' R' L' U R' D L2 B F2 R2 L' F',x2,R B2 F' D2 B U' L B2 U2,L2 R2 F' L' F L' U2 R2,B2 R2 D' B R' F' D2 B' L2 F' D' L R2 U' L2,R' B' R B F D2 B2 D' B D B D2 F',45
F2 D L2 D U' B2 U2 R' F' R2 F' U2 R B L U L2 R U R2 B',x2,L2 D2 R B' D L' R' U2 F,R2 U2 F' L F U' R2,U2 R D F' L R' D B2 R D L2 B2 L D R',R' B' R B F D2 B2 D' B D B D2 F',44
U' R' D2 R B' L D2 R2 L' B' U L2 U2 R' L2 B2 U R2 U R2 L' D' B D2,x2,B' U L2 B F' U2 F2 D2,R2 U' R2 D L' B D' B',B2 L' F' D F U' B R' B R' D' R' F' D R',U B R D U' B2 D' U R B' U',42
L B2 D2 L U D2 L' D2 L2 D B2 U' F D2 R F' B U' D R2 D L B',x2,B2 U' R' D B U2 B D2 L2,F2 U R' B R U' F2,D L' B2 R2 U' R' F' U R' F2 L R' D U2 R,,31
