scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
F L D2 R2 U D' L' F B R' F' D' R' L' U R' D L2 B F2 R2 L' F',x2,D2 L U' B' L2 D R2 F2,R' F2 R D' U' B2 L' U L D L',F U2 B' U' R2 U' R' U R2 F' U' B,U' R D' R' B2 L' F2 U2 B' R' B' F2 D' U,,45
L F2 L B D2 L2 D2 B' L2 R' F2 R L2 U L D2 R2 L2 U B L' U B,x2,L2 R' D F L' R',U2 F D2 R U2 R B U R2 D2 U2,B2 U' R2 D2 U2 L' D R U' F' R D,B2 U' R D B2 R B R' B' D' R U R B2,U F2 L2 B2 D B2 L2 F2,51
L' F2 D L B' F' L' U' R2 U F U2 L' F' L' R' B F2 D' R2 B2 U' B' L,x2,L F R2 B' U B D' U2,U L' F' L2 U' F2 L U L' F,U2 F' R2 F U' F' R2 F2 U' F' U',B F D B2 L2 F U F' L2 B D' F',B R D U' B2 D' U R B',50
F2 D L2 D U' B2 U2 R' F' R2 F' U2 R B L U L2 R U R2 B',x2,D2 L2 B2 L' U2 F' R2,D R2 U' F2 D' F' D R2 D' L2,U F2 D2 B D2 B' R' F' U B F' U2,B' U B U B' R B R' B' U2 B2 U B',F2 D' B' F L' B2 U2 B2 L B F' D F2 R2,56
R' U2 R D L R D F' L2 R B2 F2 L' B R L2 F' L R U' L',x2,F D2 B2 R' D2 R' B,B U' L2 B2 D' F' R' B F U,B2 U' L2 F' L' B L' D' L2 D' F L U,D L B U' B U B2 L2 U' R' U L R D',B R D U' B2 D' U R B',53
B2 F U' B2 F' L2 B U L' U R U2 L' R2 D' B U2 F2 L B2 R' F2 D,x2,U B2 L2 U2 R' B,U2 F2 R B2 D2 F R F L B2,L U B' F D R B2 F' U' B' L' R',L2 B' L2 B R B' L2 B R' F R F' L2,,41
L B2 D2 L U D2 L' D2 L2 D B2 U' F D2 R F' B U' D R2 D L B',x2,B F2 U2 R2 D L R,L2 D' U2 L' D U2 L2,D2 B U' B' D2 B L' B' U' L U2,B' L2 R2 F R F' L2 R2 B R',B F' L U2 L' B' F U R2 U',45
U2 D' L' F B L' F' L' B' U2 R D' B F L' B L' R2 U2 F,x2,B L2 R D' B F D' R,D2 U' B' D B2 U B U' L D U,B' U' B' L' B' L D L' D' U B',B D U2 L2 F' L' F L' U2 L U' L' D' B',F' L U L' B' F U R' U' B,54
U' R' D2 R B' L D2 R2 L' B' U L2 U2 R' L2 B2 U R2 U R2 L' D' B D2,x2,F' U L2 B2 D' R2 F L',B' U2 L D L F' D2 F U2,B' R U R' U' B' R' B2,L2 R' F2 L2 U' L U L2 D2 B' L' D2 F2 L2,U F2 L2 B2 D B2 L2 F2,47
R2 F2 R' B2 F' L2 D' U' B' R D2 U2 R B U L2 U B2 L2 U2 D B' R2,x2,L D R2 U B R2 U R',L D U F R F' D' L',B' D2 U' B L' B' D2 L' B2 L U B,D' L2 R D R2 F L2 U R B U B2 U' B' D,R' B' R B F D2 B2 D' B D B D2 F',56
