scramble,orientation,step_0,step_1,step_2,step_3,total_moves
D2 F2 U2 D' R D2 R2 B2 U2 F B2 D2 B R B F2 U B L2 U D',x2,D B R2 U F2,B R2 U2 R2 D L' D B2 D B L,D2 U' R B R' F2 R D2 B' R' F2 D2 U,R2 U' R D2 R' U R D2 R,38
F2 R D2 U' R F' D2 R' B' R' F' B' L2 U' L U F2 B L B2 R F' R2,x2,L' F' R2 B R',U' F L R F' D U B2 D2 B' D,B L' B U2 B U2 B2 U2 B U2 L B',D' L2 B U' L2 U L2 U B U' B2 D L2,41
D' U' B F' R' L2 U2 D' R' B D2 L R2 F L F' L2 B2 L U2 L F' R D' L2,x2,L2 U2 F' D' L U2,B2 L' R D F2 L D R' B2 D' B D,D L F U F2 L' B' L F2 U' F' L' D',D B D' F' D U B' D' B U' B' F,43
U' B D2 L' U' L B' F D R L F' L B2 F2 R' F2 D' L U D2,x2,B' L' D F D2 R2,B2 L' B D' B2 D' L2 U L' B' U',R U' R' D B2 D' U B U' B' U' R U,R U L' D' U' R U R' D L R U' R2,43
F2 B L' F2 U' B L' D2 F D' B2 U' D R2 U' L' F L B' D L2 D' U2 F' L,x2,U2 R' B2 F U F,R F R U R2 B L2 D' B' L2,D2 U2 B U2 B' U2 L U2 L' D' U2 B D',R2 F' R2 F D' R2 B R2 B' D2 F D' F',42
R D F2 R B' L' U' D R2 B F' L2 B2 F D' F2 R2 U2 R B F2 D2 R L D2,x2,B2 L F' U' B2 F,D B' D' R D' F2 L' D2 F2 D' R',L F2 R' F2 L' F U2 R2 U2 R2 F',R D' L' D2 L2 D' R' D L2 D2 L D,40
L D2 L D2 B2 L U D2 F2 D2 F2 U' B' U' F' D U' R' U' B U' L2 U' L,x2,U' B' D F' L U2,B2 R2 U R B L B' L' U2 R D,F D R B' R' B2 D' R' F' U2 F R F',U R2 U L' U' R2 U L U2,39
U2 D L2 R F' L' R' B R' D' B2 L D F L D B2 U D' B F',x2,D U2 R2 B2 R',B D L' D' F2 R F' R' F' L B',R2 B L' R2 D B' D' L B2 R2 B2 R2 B,D B' D B' L2 B L2 D' B D2 F' D F,42
R2 F B L F B2 R2 F2 D R' B2 F D2 F2 B2 U2 D' R' D2 L R U2 L' R2 D2,x2,U B L R2 F2,L' F' L' U2 F' U2 F U L2 U',R2 U F' U' B U2 B' F2 R2 F',D R D2 R2 B R' F' R2 B' R F D2 R' D,39
U' B R B' U2 F L2 U2 B' R2 F2 U' L2 U' F' R L U' D2 F' B' L,x2,D' L2 F R2 U',L' R' F' U F L F R U' L,D' F' L D' L' R2 D L U' F' D U' L2 U2 F,U2 F' D' F D L2 D B D' L2 U2 R2 F R2,44
