scramble,orientation,step_0,step_1,step_2,step_3,total_moves
U R' U2 B2 L2 U' F L R' F' B2 D' B F R' D' L2 B' U' F' D F2,x2,U2 L' D B' U L U2,D2 L U' L' B' L2 B D U L' D2,B D2 R2 D2 R2 F' R' F R2 D2 R2 D2 B',L U2 R2 D2 R2 U2 L,38
L2 R2 F' U R' L2 D R2 F' R2 F2 D' B' U D F2 B' U R B' D2 F',x2,U' R U2 L' F' D' F2,L U' L2 D L' D' L D2 U L',B' F2 L' U2 L' B2 F' D' F' R' D2 B' D,B' L2 B D L B D2 B' D' L',40
R' D U' R2 D U R L B2 R' B F' U F' R' B' R2 U' B2 D U',x2,D2 L U2 B' U' B' U2 L',L2 U' R F' L2 F L2 R' D U,B2 F' R2 F' D' F' D2 B U2 R2 B L2 U,B R F' D' R' D2 R F D R' B2 L2 B,44
B' L2 B R' L' U2 F' D F B R2 B2 D U L R' F2 R B2 U,x2,B' R U' F' D' B' R',F' U B' D2 R D2 B2 R' B' U' F,U' R2 D F2 D2 B2 U L2 F U' B2 U F,L' D' F' D2 F L D F L2 F',41
F B2 D B L F' B' L' U' D' R' F2 R2 U2 R2 D' R F2 R' U,x2,D B' U2 R B2 F,B D' L D B2 L2 B2 L B',L2 U2 B2 R2 B' R B' D' U2 L F2 L F2,D B' F L2 B F' D,35
L U' B2 D R' U L D2 F' L2 B2 L U' B2 D2 B' L' D2 B' D2 U2 R B2,x2,F R' U2 B U B2 F2,D2 L2 D' L2 B D2 L2 D2 L B',F D F' D' U L2 U' L F' L' U L2 U',D' B' F L2 B F' D',37
F' B L' B D' L' D B2 D R' L' B' D R2 U2 D2 F2 B D' R' L' D F',x2,D' U' B U R' B2 R2,B L2 F L' B' F' U' L' U L,D' F' R U2 F R2 D' L B L' D2 R D',B R' B2 U L2 B2 R2 D F2 R' B',41
B' D B' F' U' D' R' U' R' D B' U2 R L' D2 R D' L R2 F2 B R,x2,D2 R U B F' L2 F2,B D L2 B2 U B D U',F L' R' U B2 L' D L U' L' D' L2 R F',L2 B2 U' B' F R' F2 D2 F2 R B F' U B2,43
L2 B' L2 U2 F B2 U B F D' U2 L R2 B2 F D' B F L' D' L D,x2,L B' D' F' L U' F R,B' D L2 D F L2 F' D' B,R2 D' B2 D B2 D2 F' U R2 U' R2 F D2 R2,L2 D' R2 B F' U2 R D2 R B' F D',43
F D' F D' R2 F2 U' L' U' L2 D2 B U2 F D' U R2 L' D R' B U,x2,R2 D R' U' L U2 F,R D L2 B L' D B' L D' R' D2 L2,B R B R2 B' R' F D2 B' L' D2 L2 F' D',D2 L B' U' L' F L2 F2 L' F U B D,46
