scramble,orientation,step_0,step_1,step_2,total_moves
R' D U' R2 D U R L B2 R' B F' U F' R' B' R2 U' B2 D U',x2,D2 U' L D L2 D F' U' R2 U,F U B2 D' R F' R F2 D2 R B2 L2 U F2,F' R' D2 B2 U2 L' B2 D2 F',33
B' D B' F' U' D' R' U' R' D B' U2 R L' D2 R D' L R2 F2 B R,x2,D2 L B2 L2 R' F2 D R B' U',B2 L' D' B D2 B' D F' L D B R2 B,L' U' F' L D' B L B D' U2 B2 D2 F',36
L2 B' L2 U2 F B2 U B F D' U2 L R2 B2 F D' B F L' D' L D,x2,B' U2 R' F2 D B' R B2 D2 U L',F' R2 D' U B D U2 B U B R D' B' R,L F' L' F U' L2 B' R B' D' R' B2 L2,38
F D' F D' R2 F2 U' L' U' L2 D2 B U2 F D' U R2 L' D R' B U,x2,R2 B2 U' R' B2 D B' L' R' D',F2 D F' L' D F L' D' B' U F2 L' B,L' R B' U2 B' L' R D B2 L2 R2 U,35
U R' U2 B2 L2 U' F L R' F' B2 D' B F R' D' L2 B' U' F' D F2,x2,B U2 B R2 D2 U' B2 F D L',L F' R' B' D L D F D2 U2 B' L' B2 F D,L' R B D2 B L' R D' L2 R2 B2 U',37
L2 R2 F' U R' L2 D R2 F' R2 F2 D' B' U D F2 B' U R B' D2 F',x2,U B' L D R' U2 B' L2 R' B2,L' B2 R' U2 L F R' F2 R D' F D L' B2 L,F D2 B2 U2 B2 D2 F,32
B' L2 B R' L' U2 F' D F B R2 B2 D U L R' F2 R B2 U,x2,F2 D B U' L2 D2 R' D2 F L2,D2 F D' F L B F D B' F2 L' R' D' R D',U' R' F U F U2 F' U' R F U2 F',37
F B2 D B L F' B' L' U' D' R' F2 R2 U2 R2 D' R F2 R' U,x2,F2 L2 U' B L D' F' R2,F L D2 U F L2 F' D' L D U' F D L D' L2,L' U' F' L D' B L B D' U2 B2 D2 F',37
L U' B2 D R' U L D2 F' L2 B2 L U' B2 D2 B' L' D2 B' D2 U2 R B2,x2,D2 B' U L2 F' D' R2 B2 D2,F' D2 L B' U B2 F D B' L' B2 R' B2 D L2 D',L U' F' U2 F U F L' U' F' U2 F,37
F' B L' B D' L' D B2 D R' L' B' D R2 U2 D2 F2 B D' R' L' D F',x2,U' R' D U' L' B' L F2 L U,F2 L D B U' R2 U F D2 F D' R' D' B' L' D',F U2 F' U' R' F U F U2 F' U' R,38
