scramble,orientation,step_0,step_1,step_2,step_3,total_moves
B' D B' F' U' D' R' U' R' D B' U2 R L' D2 R D' L R2 F2 B R,x2,R2 B' D2 F' U' B L' D',U' B' D2 R2 U2 R' U' R D2 B,L B2 D' B R U R U' R2 B' D B2 L',,31
F B2 D B L F' B' L' U' D' R' F2 R2 U2 R2 D' R F2 R' U,x2,U B F R2 U' B' L',D' F2 L D B' U2 B2 D' B' U' L',D F' D' L' U2 F2 L U2 B L' B' F2 U2,,31
L U' B2 D R' U L D2 F' L2 B2 L U' B2 D2 B' L' D2 B' D2 U2 R B2,x2,D2 R' F2 L2 B' R2 U',L2 D U2 B' F R F U R2 B D',R2 B' L R B2 L2 F L' B F' L R D2 L,,32
F' B L' B D' L' D B2 D R' L' B' D R2 U2 D2 F2 B D' R' L' D F',x2,L2 F D2 F2 R' U' B',D2 L B2 U2 B2 L' D' F D',R' B D F L2 F' D2 L2 D2 L2 D B D' B2 R,,31
U R' U2 B2 L2 U' F L R' F' B2 D' B F R' D' L2 B' U' F' D F2,x2,D F D2 L' D2 B R2,F' R2 U L U' R2 F L2 U' L2,B2 F' L' F R2 F2 L' U2 B' U2 L2 R2 B2 U' L U,,33
R' D U' R2 D U R L B2 R' B F' U F' R' B' R2 U' B2 D U',x2,F' L' D F L2 U B2,B2 R B2 R F2 R' B' R' B,L D' L2 D2 U' R2 B U B' R2 F U F D' L F',,32
L2 R2 F' U R' L2 D R2 F' R2 F2 D' B' U D F2 B' U R B' D2 F',x2,F2 R2 F2 D' B U' R,D' R U R' B' U2 B D L' U',U' B R U B L' B' F U' L F' L' R' B' F2 U,,33
B' L2 B R' L' U2 F' D F B R2 B2 D U L R' F2 R B2 U,x2,L' R D F L' B F,U' F D' L' R2 B2 R' B R' D L2,U' F2 U2 F L2 D R2 U' B2 U2 B' D R2 U L2 D2,,34
L2 B' L2 U2 F B2 U B F D' U2 L R2 B2 F D' B F L' D' L D,x2,B' F2 L' U F' D B' U',U L' U' R' F' U2 F2 U2 F2 R,L' F U2 L2 F' R' F' L2 B D2 B' R U2 L2 F2 L2,R' U2 L U L U' L2 U2 L R B L' B',47
F D' F D' R2 F2 U' L' U' L2 D2 B U2 F D' U R2 L' D R' B U,x2,L D B' F2 L R',L2 U R B2 L2 B2 D2 B2 D2 R',U' F2 U2 L' U2 F U2 F L' U2 B' U B L2 F' U',,32
