scramble,orientation,step_0,step_1,step_2,step_3,total_moves
F2 R D2 U' R F' D2 R' B' R' F' B' L2 U' L U F2 B L B2 R F' R2,x2,F' D2 R D',L2 F' D' R2 F' D' L2 R2 B' U' R,L' F' R' F2 L B' D' L2 R U' F L D L,D' L D R D' L' D R',37
D' U' B F' R' L2 U2 D' R' B D2 L R2 F L F' L2 B2 L U2 L F' R D' L2,x2,D U2 F2 L B2,U L2 D2 B2 R D L' U2 F' D U2 L',U F L B' F' U' F L' B' F' U B2 U',R2 U R2 U' B R2 D' R2 D B2 U' B U,43
U' B D2 L' U' L B' F D R L F' L B2 F2 R' F2 D' L U D2,x2,R F2 D L',L' U2 B' L' B D L F' R' D2 F2,R' U B2 F' U' F R B2 U' F2 D F' R F',R2 U R2 U' B R2 D' R2 D B2 U' B U,42
D2 F2 U2 D' R D2 R2 B2 U2 F B2 D2 B R B F2 U B L2 U D',x2,L D B' U' L2,L D' L' B' U B D' B2 R F2 U',R' U L B D' R' B' D L D U' F' D' R,F2 L D' L2 B2 R' U R2 U2 R B2 L' D L2,44
R D F2 R B' L' U' D R2 B F' L2 B2 F D' F2 R2 U2 R B F2 D2 R L D2,x2,B2 L B2 D',F U2 L B D2 F' D' L2 U' B' R2,U' B' U2 B L U' B' L2 U2 B2 L2 B' U2 L,D' R U' R' D R U R',37
F2 B L' F2 U' B L' D2 F D' B2 U' D R2 U' L' F L B' D L2 D' U2 F' L,x2,L' F' U L2,B F U2 B F2 R2 D R2 F' L2 B2 R',U B' U2 R' F' L' F2 R' D2 F D F2 R2 U2,L2 B R' B' L B2 R' B' R' B R2 B2 L,43
L D2 L D2 B2 L U D2 F2 D2 F2 U' B' U' F' D U' R' U' B U' L2 U' L,x2,B2 R2 D F' L' D',U2 B L U' R' D2 B' D2 R U L' U2,D2 U' R2 B' R' F' U R' B F R2 D2 B' U,F' D2 R2 D R2 D2 R' D F D' F' R D' F,46
U2 D L2 R F' L' R' B R' D' B2 L D F L D B2 U D' B F',x2,B' D2 R B2,R B2 R B' L U B' F' L' R2 D B',U B2 U' B R' U' F' U2 L F R B U2,R' B' F2 L D2 L2 D L D B D' F' R F',43
U' B R B' U2 F L2 U2 B' R2 F2 U' L2 U' F' R L U' D2 F' B' L,x2,D' L' F R2 D2,F2 D F2 U2 F' L' R B' F D' U',U F2 L B' L' U B D' U2 L' D L U F2,L B2 F' R2 B' R' F D2 B' D2 L' D2,42
R2 F B L F B2 R2 F2 D R' B2 F D2 F2 B2 U2 D' R' D2 L R U2 L' R2 D2,x2,U' B' L2 D2,R2 U' L2 F' L2 U B U' R B',B' F' U2 L' U B L D L2 D2 U B2 D B2 F,L2 B' L2 B' U B D' U' B' F U' B F' D B,44
