scramble,orientation,step_0,step_1,step_2,total_moves
L F2 L B D2 L2 D2 B' L2 R' F2 R L2 U L D2 R2 L2 U B L' U B,x2,L U' R' B D2 U' L2 B' R2,B2 U' R2 B R2 U R' U R' B R' U' R' B,R' F L2 R2 B' R B L2 R2 F',33
F2 D L2 D U' B2 U2 R' F' R2 F' U2 R B L U L2 R U R2 B',x2,L2 D L' F2 D' B' U2 F' U,U' L' U F2 L B2 F2 R' D B' D' B2 U' L U,U2 R' U' F R U R2 U' F' R U R2 U,37
L' F2 D L B' F' L' U' R2 U F U2 L' F' L' R' B F2 D' R2 B2 U' B' L,x2,F2 L F' U' L U2 F' R B,R' U L B2 U L2 B2 U' L' B U2 L' U' L R,L F' L' F R2 U F2 R F' U' F' U' R2,37
U2 D' L' F B L' F' L' B' U2 R D' B F L' B L' R2 U2 F,x2,D' R' B2 F' D2 L U' F2,D' R' D B R' D2 B' R2 D B L' F' L R2 D2,U B' F R' F' R B F' U' F,33
R2 F2 R' B2 F' L2 D' U' B' R D2 U2 R B U L2 U B2 L2 U2 D B' R2,x2,R D2 B2 R B R2 D' F,L' R2 F R F' D' R U' B' U R D L2 U L',R' F L2 R2 B' R B L2 R2 F',33
F L D2 R2 U D' L' F B R' F' D' R' L' U R' D L2 B F2 R2 L' F',x2,R2 U' R D L2 D U R2,B R' B2 R' B' L R2 D' F2 R2 D U R U' L' R2,B' U' R2 U F R D R2 D' F' R' B,36
R' U2 R D L R D F' L2 R B2 F2 L' B R L2 F' L R U' L',x2,L B2 U R' F2 D B' R,D' B2 F L2 F U' B U B' U2 L D' B' D U F2,R' U B' F R2 B F' U R,33
B2 F U' B2 F' L2 B U L' U R U2 L' R2 D' B U2 F2 L B2 R' F2 D,x2,F' D2 L2 U R F2 L' B D,L' U B D' F2 D B2 R2 D' F D' R U2 L' D2,B L R U2 L2 D' B D L U2 R' B' U',37
U' R' D2 R B' L D2 R2 L' B' U L2 U2 R' L2 B2 U R2 U R2 L' D' B D2,x2,B2 R U R2 B' D2 F' L2 U',R' F2 L2 F' D' R' F' U L U' B L' F2 L' F2,F' U2 F L R' D' F2 D L' R,34
L B2 D2 L U D2 L' D2 L2 D B2 U' F D2 R F' B U' D R2 D L B',x2,U' R2 F D2 B2 R2 D2 L' U',B R2 U B2 F' U' F R2 F R B2 F' D B' D',U' B D2 U2 F' L' F D2 U2 B' R U,36
