scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
L F2 L B D2 L2 D2 B' L2 R' F2 R L2 U L D2 R2 L2 U B L' U B,x2,B2 U B F2 L D',B2 F2 L B' L' D2 B',R2 D L' U L F D' L2 U L2 R2,U R' D U' B' D2 U2 F2 D U2,R U' B2 F2 D L' D' B2 F2 U,44
F L D2 R2 U D' L' F B R' F' D' R' L' U R' D L2 B F2 R2 L' F',x2,B R' D' L',R F' R2 F2 U2 L' F' U2,U' R U R B2 F D' B2 F' R',D' F' D2 U2 B D' U2,B' R F2 D' F' D R' D R D' R F' R2 B,43
F2 D L2 D U' B2 U2 R' F' R2 F' U2 R B L U L2 R U R2 B',x2,L B2 U2,B F2 L' D F' L B' F',R2 F' L F L' U2 B L B' R2,D B D2 L2 D2 B D2 L2 D,D U' L U B L' B D' R' B U' B R B,44
L' F2 D L B' F' L' U' R2 U F U2 L' F' L' R' B F2 D' R2 B2 U' B' L,x2,R2 D' B' L D',D' F L' D R' U R F2 L,U2 B2 L' B' F' L' B' U2 F2 R' F',R2 D' U F2 D' L' D U' F D,B2 R2 U R B U R' U R2 B' U' L U L',49
U2 D' L' F B L' F' L' B' U2 R D' B F L' B L' R2 U2 F,x2,F L2 D R2 B,F' U' R2 B' D B L2 U,F2 D' L2 F2 L' R2 U' B' L' B' R2,B2 U2 B' D' U R D U B2,R' U B U' B' U' B R' F' R B' R' F R2,47
R2 F2 R' B2 F' L2 D' U' B' R D2 U2 R B U L2 U B2 L2 U2 D B' R2,x2,F2 L U R B,U2 F' U L2 U2 L U' F2,L2 R' B' U' R B L' D2 L' D2,U' F2 D2 L' B2 U2 B2 L' D2 U,R2 U2 R F' U' F2 R' F2 U B U2 F U' B',47
B2 F U' B2 F' L2 B U L' U R U2 L' R2 D' B U2 F2 L B2 R' F2 D,x2,L2 U' B R',F2 L2 R F' L2 F' R',F' R F U2 B2 R D2 B2 L F' R',D L2 B D2 U2 F' R2 D U2,D L' B' L D' R2 F2 D' B L B' D F2 R2,45
U' R' D2 R B' L D2 R2 L' B' U L2 U2 R' L2 B2 U R2 U R2 L' D' B D2,x2,D2 R2 D' B' L,D2 L B2 D' B D' L' F',F D L2 F2 L2 D' F',D' R2 F D U' R' B2 U,R U2 R' B2 U2 B' R U R2 U B2 D B D',42
R' U2 R D L R D F' L2 R B2 F2 L' B R L2 F' L R U' L',x2,B' F R,L' F2 L D R D' F R',F' L U L D2 L' B D2 U' L2 F,U' R2 D' U' F' D2 U2 B D2 F2 D,L2 D2 R2 F' R' D' L D' B2 L R U' R2 U' B,48
L B2 D2 L U D2 L' D2 L2 D B2 U' F D2 R F' B U' D R2 D L B',x2,B2 U B' L B',L' B' U R D' B U' F2,B2 L' U R2 B' R2 B' U' L B2 L,F2 D2 R2 D U' L' D U' F L2 U2 F2,D U2 L' R U B' D B U' B2 D' R' B' L D',51
