scramble,orientation,step_0,step_1,step_2,step_3,total_moves
R' D U' R2 D U R L B2 R' B F' U F' R' B' R2 U' B2 D U',x2,U2 B' D' F' R D F2,B' D F D' L' B2 F',B U' L2 B D2 L' B L D2 B L' B2 L2 U B',,29
L2 R2 F' U R' L2 D R2 F' R2 F2 D' B' U D F2 B' U R B' D2 F',x2,D R' F U L',F L D F2 U B R' U' F,L B' F L' F D' U R U B R D U2 F2 L2,R D' R' D2 B R' U R' U' R2 B2 D2 B,42
F D' F D' R2 F2 U' L' U' L2 D2 B U2 F D' U R2 L' D R' B U,x2,F2 U' L U2 F L2,F L2 B2 D' L2 D2 F' D2,F L2 D' L2 U' B' L B U L2 D F',R B R2 U R U' R B' R F D F' R2,39
F B2 D B L F' B' L' U' D' R' F2 R2 U2 R2 D' R F2 R' U,x2,D U' B2 R F L',B' U' F' U' R2 F R' U2 B,R2 B' F2 R' F U' F' U' R B2 L B' L2 F2 R2,L D L2 F L F' L D' L U B U' L2,43
B' D B' F' U' D' R' U' R' D B' U2 R L' D2 R D' L R2 F2 B R,x2,R U B2 D F L2,D' F' R2 U B' F R' D' R',F2 L U2 B2 U' B2 U L' R B U B U' R' F2,R B' L B R' B2 L' U' B D' B' U B2 D,44
U R' U2 B2 L2 U' F L R' F' B2 D' B F R' D' L2 B' U' F' D F2,x2,D2 L' B F U' L2,B2 F' R F R' D' B2,L F2 U' B F L2 R' D2 L2 R F2 U' B' U F' L',R B' L B R' B2 L' U' B D' B' U B2 D,43
B' L2 B R' L' U2 F' D F B R2 B2 D U L R' F2 R B2 U,x2,F' R U' F',F L2 U' L' D U L2 F' D,L B' L2 D2 L' B2 D' L D2 L2 B R' B L2 B' R,B2 U' F' L' F U B' U2 R' U' R U' B',42
L U' B2 D R' U L D2 F' L2 B2 L U' B2 D2 B' L' D2 B' D2 U2 R B2,x2,L' D' F' R D2 L2,D B D B2 F2 L2 F2 D2,R' F L U2 L B' F U' F D F' R2 F2 D' B R,B2 U' F' L' F U B' U2 R' U' R U' B',43
L2 B' L2 U2 F B2 U B F D' U2 L R2 B2 F D' B F L' D' L D,x2,U' F' D' B2 R2 F' L',D2 B D F2 L' F' D2 F',B' F2 D2 B' D B D2 B2 F2 D' B2 D' B F L F',L D L2 F L F' L D' L U B U' L2,44
F' B L' B D' L' D B2 D R' L' B' D R2 U2 D2 F2 B D' R' L' D F',x2,D R B' L2,D2 R' D B R2 D' R' B2,R2 U2 B D U' B' D R B D U R' B' D2 U2 R2,R D' R' D2 B R' U R' U' R2 B2 D2 B,41
