scramble,orientation,step_0,step_1,step_2,step_3,total_moves
F L D2 R2 U D' L' F B R' F' D' R' L' U R' D L2 B F2 R2 L' F',x2,L' D' F' U2 L' U',B2 F U' B' L' B L2 D2 U' L2 B2 F D,D2 B R U' R' F' U' F2 R' F' R B' R D2,,33
L F2 L B D2 L2 D2 B' L2 R' F2 R L2 U L D2 R2 L2 U B L' U B,x2,R D F' L' D L' R',B2 R' U' B2 F' U2 F' D U' F L,F U2 L2 U2 B2 R2 B' D F2 D F2 D B' L2,B2 R2 F2 U F2 R2 B2 D,40
L' F2 D L B' F' L' U' R2 U F U2 L' F' L' R' B F2 D' R2 B2 U' B' L,x2,F R' B F R' D2 L2 U,L' R2 F2 L2 F D R F2 R B2 L' U,F2 L' U' B' U' F2 R' B F2 R U2 R' F2 L,D' L2 D B F' R' D2 R B' F,44
U2 D' L' F B L' F' L' B' U2 R D' B F L' B L' R2 U2 F,x2,B' L2 R D L F' D' F',L2 R B' U2 L U B2 L2 B L' U R' U2,R2 B L D B D' B' L' B' F L F' R2,,34
U' R' D2 R B' L D2 R2 L' B' U L2 U2 R' L2 B2 U R2 U R2 L' D' B D2,x2,L D' U2 L2 F2 D' U',R U' L2 U B U' L2 U R',D R2 D R D' F2 L' U B' L U' F2 R D',F D' L' D B F' R' D R B',40
F2 D L2 D U' B2 U2 R' F' R2 F' U2 R B L U L2 R U R2 B',x2,U2 F L2 R D' U' R' D,L' R' B R F' L' D2 B' U B D L2,U L2 B D2 F' L D' B' F' L2 F U' F' L2 F',,35
R' U2 R D L R D F' L2 R B2 F2 L' B R L2 F' L R U' L',x2,U2 L F' D' U' B2 F' L,F R B' L' R B2 F' L' U' F U' L B',B D2 U2 R' D' B' D B D2 R' B' F D2 R2 F',L' F L B D2 F' D' F' D F2 D2 B' F',49
R2 F2 R' B2 F' L2 D' U' B' R D2 U2 R B U L2 U B2 L2 U2 D B' R2,x2,F' U' F' U2 L2 B2 F' D' L,F' U B F2 D2 U2 B' L' D2 L U2 B',U2 R' F' D2 U' R U R F R' B' L2 B R U2,,36
B2 F U' B2 F' L2 B U L' U R U2 L' R2 D' B U2 F2 L B2 R' F2 D,x2,B U' R2 D2 R2 B U2,B L U2 F2 L D2 F U' R B L2 U,F L2 F' D F' U2 F' L2 U' F2 D R B' R' D,F D' L' D B F' R' D R B',44
L B2 D2 L U D2 L' D2 L2 D B2 U' F D2 R F' B U' D R2 D L B',x2,L' F D' L2 D2 F2 U F,D U2 F2 R2 B2 R' U2 R2 B' L' R U2,D2 F D' L' B' L' D2 B2 F' D R2 D2 R2 D B' R2,L' F L B D2 F' D' F' D F2 D2 B' F',49
