scramble,orientation,step_0,step_1,step_2,step_3,total_moves
F2 D L2 D U' B2 U2 R' F' R2 F' U2 R B L U L2 R U R2 B',x2,D B' R2 B2 R F2,F2 D2 F D' B D' B' L F D',F D' R D' R U' R' D2 B2 R2 B R2 U2 F' U',F' U2 L B' U2 B U2 B L B' L2 F U2,44
R' U2 R D L R D F' L2 R B2 F2 L' B R L2 F' L R U' L',x2,R' F L2 D B' D' F2,R2 F' L D' F2 D2 L D R2,L2 B' L D U F2 D' L2 U F2 L B L F2 L',,31
F L D2 R2 U D' L' F B R' F' D' R' L' U R' D L2 B F2 R2 L' F',x2,F' D L B2 D2 L2,B' F' R D2 B L R' F U B',D2 R D B' U' R' F2 R D' U L2 R2 F R D2 B2,,32
L F2 L B D2 L2 D2 B' L2 R' F2 R L2 U L D2 R2 L2 U B L' U B,x2,L' D2 B2 L2 F2,D2 U2 B F U F' D2 L U B U,D' U F' L' F' D2 F D F L D' U B D2 L2 U2,,32
L' F2 D L B' F' L' U' R2 U F U2 L' F' L' R' B F2 D' R2 B2 U' B' L,x2,B2 L' D2 R B',U2 F L2 B' U' L B' F' U2,R2 B R2 F' D' F' D2 F' U F' L2 U L2 U2 B' R2,U2 F' L U2 B' U2 B L2 F' L F U2 F,43
L B2 D2 L U D2 L' D2 L2 D B2 U' F D2 R F' B U' D R2 D L B',x2,U' F' D R' B L2 D',R2 D2 R' B R2 F' R2 B2 L B R',R2 B2 L U L F2 D2 U' L D' B' U F2 L2 U,F' U2 L B' U2 B U2 B L B' L2 F U2,46
U2 D' L' F B L' F' L' B' U2 R D' B F L' B L' R2 U2 F,x2,D' U2 B2 F U' R',R2 U' B D2 R' B' U F2 D' R2,R2 D2 L' R' F' R2 B2 D F' D' B' U2 B' L R D2,U2 F' L U2 B' U2 B L2 F' L F U2 F,45
R2 F2 R' B2 F' L2 D' U' B' R D2 U2 R B U L2 U B2 L2 U2 D B' R2,x2,D' F' U' F2 L' R',F2 D2 R U2 F2 D U' L' D U B2,D2 L' R2 F' R2 B2 R' U2 L' F U L2 B2 L' F R,F' U2 L B' U2 B U2 B L B' L2 F U2,46
B2 F U' B2 F' L2 B U L' U R U2 L' R2 D' B U2 F2 L B2 R' F2 D,x2,D B' D R B' D2,R' F R' D' R2 B U B2 L D' B D,F U F' D' F U' B R2 F R' B' F2 U2 B2 D U2,U2 F' L U2 B' U2 B L2 F' L F U2 F,47
U' R' D2 R B' L D2 R2 L' B' U L2 U2 R' L2 B2 U R2 U R2 L' D' B D2,x2,L B U L2 R F,L' D' L' F' L' F' D' F2 D L',F2 U2 L2 D2 L' D2 B2 U' F' L2 F L U' F' R D2,F' U2 L B' U2 B U2 B L B' L2 F U2,45
